Target relationship: chronotype_desync -> cluster
Model Formula: Formula(cluster ~ age + chronotype_desync + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
1|id[1, 859]           0.117  0.611  -1.003    1.284      0.005    0.008  17810.397  6040.112  1.002
1|id[1, 860]           0.261  0.611  -0.873    1.468      0.005    0.008  15382.589  5539.236  1.001
1|id[1, 861]           0.127  0.708  -1.279    1.416      0.006    0.010  16325.218  4987.936  1.000
1|id[1, 862]          -0.117  0.602  -1.262    1.000      0.005    0.008  16394.872  5602.050  1.000
1|id[1, 863]          -0.768  0.639  -1.977    0.421      0.005    0.008  13615.811  5664.034  1.002
1|id[1, 864]          -0.077  0.589  -1.215    0.985      0.005    0.008  13902.646  5758.696  1.000
1|id[1, 865]          -0.008  0.568  -1.090    1.051      0.005    0.008  14359.989  5555.797  1.001
1|id[1, 866]          -0.001  0.590  -1.132    1.070      0.005    0.008  15788.119  5753.582  1.002
1|id[1, 867]           0.425  0.569  -0.687    1.469      0.004    0.007  16181.558  5976.434  1.001
1|id[1, 868]           0.091  0.527  -0.920    1.060      0.004    0.007  16383.540  5625.441  1.001
1|id[1, 870]          -0.102  0.589  -1.236    0.961      0.005    0.007  15417.709  6005.222  1.000
1|id[1, 899]          -0.341  0.643  -1.552    0.843      0.005    0.009  18099.051  5022.946  1.002
1|id[1, 903]          -0.602  0.660  -1.854    0.630      0.005    0.008  15524.636  5838.637  1.001
1|id[1, 905]           0.486  0.582  -0.607    1.579      0.005    0.008  13433.611  5576.161  1.001
1|id[1, 906]          -0.821  0.635  -2.035    0.354      0.005    0.009  14448.520  5439.854  1.001
1|id[1, 908]           0.061  0.605  -1.124    1.136      0.005    0.008  15238.911  5574.385  1.000
1|id[1, 910]           0.046  0.684  -1.247    1.300      0.005    0.009  16379.203  5367.941  1.002
1|id[1, 920]           0.022  0.618  -1.151    1.155      0.005    0.008  16619.996  5569.528  1.001
1|id[1, 921]           0.174  0.586  -0.903    1.277      0.005    0.007  14181.198  6548.286  1.001
